# batch64_cbam_k1_avg4_SAP2_em128_dp01_alpha1_none1_wd5e4_40 baseline
EER(%):        17.29    Threshold:  0.2572  mindcf-0.01  0.9278  mindcf-0.001: 0.9490  mix2,3: 16.4086, 15.2245. 
# mani7 lamda1.0
EER(%):        17.75    Threshold:  0.3363  MinDcf-0.01: 0.9544  MinDcf-0.001: 0.9564  Mix2,3: 16.9749, 16.2006
EER(%):        17.47    Threshold:  0.3448  MinDcf-0.01: 0.9536  MinDcf-0.001: 0.9733  Mix2,3: 16.9988, 16.2092
EER(%):        16.74    Threshold:  0.3066  MinDcf-0.01: 0.9374  MinDcf-0.001: 0.9773  Mix2,3: 16.3619, 15.3382

# mani8
EER(%):        17.90    Threshold:  0.3004  MinDcf-0.01: 0.9614  MinDcf-0.001: 0.9786  Mix2,3: 17.5170, 16.8417
EER(%):        17.46    Threshold:  0.2953  MinDcf-0.01: 0.9576  MinDcf-0.001: 0.9576  Mix2,3: 16.7211, 16.0126
EER(%):        18.08    Threshold:  0.4007  MinDcf-0.01: 0.9568  MinDcf-0.001: 0.9569  Mix2,3: 17.3008, 16.5541

# mani8 lamda1.0
EER(%):        18.23    Threshold:  0.2718  MinDcf-0.01: 0.9573  MinDcf-0.001: 0.9573  Mix2,3: 17.4556, 16.7098
EER(%):        17.97    Threshold:  0.3036  MinDcf-0.01: 0.9505  MinDcf-0.001: 0.9702  Mix2,3: 17.4358, 16.5732
EER(%):        17.09    Threshold:  0.3191  MinDcf-0.01: 0.9507  MinDcf-0.001: 0.9556  Mix2,3: 16.3323, 15.5269




